sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.7509;-10.3962;-1.3096;-2.5299;-9.3628;-1.4518;-0.4012;-1.0076;0.2146;0.1459;0.1594;-0.237;0.0;-6.87;40.91;6.59;326.91;72.7;119.85;0.0;991.35;64.022;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;6 / 18;13007;2022-11-08 17:35:56:317
-1.6712;-8.8376;0.8691;-3.0726;-9.2606;0.9857;1.1043;0.6487;-0.3505;0.3694;-0.6637;-0.0403;0.27;-9.32;38.11;-1.0;6.22;70.76;81.85;0.0;991.37;64.561;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;7 / 18;13507;2022-11-08 17:35:56:817
-5.9903;-7.0396;3.3495;-5.8473;-7.1303;3.3374;-0.1461;-1.0511;-0.3907;0.5704;-0.532;1.193;0.0;-1.78;38.39;-14.73;32.57;46.64;60.28;0.0;992.01;69.074;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;7 / 18;14007;2022-11-08 17:35:57:317
-9.4284;-6.951;4.2737;-6.7631;-5.4448;4.5591;-0.4691;0.3256;0.645;-0.578;0.1545;-0.2147;0.0;16.13;32.51;-23.4;38.04;33.73;56.02;0.0;992.34;70.389;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;7 / 18;14506;2022-11-08 17:35:57:816
-2.7509;-8.9597;0.1197;-3.4496;-9.1798;-0.03;-0.2423;-0.7491;0.0334;-0.8151;0.941;-1.0481;0.27;8.1;40.5;-7.86;49.06;69.4;90.5;0.0;991.08;69.721;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;7 / 18;15007;2022-11-08 17:35:58:317
-2.5067;-9.8695;-1.4246;-2.7676;-9.2874;-1.5014;0.2215;-0.2015;0.5315;0.0563;0.1309;0.0032;0.0;-7.36;46.59;5.49;339.62;70.42;113.69;0.0;991.1;65.791;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;7 / 18;15507;2022-11-08 17:35:58:817
-2.8826;-8.9645;-1.7406;-2.3489;-9.3933;-1.555;-0.0863;-0.1234;-0.083;0.0172;-0.0228;-0.1832;0.4063;-6.48;42.91;9.58;318.64;71.76;122.09;0.0;991.31;64.813;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;7 / 18;16006;2022-11-08 17:35:59:316
-3.5338;-8.907;-1.0008;-2.6904;-9.4293;0.1416;-0.1773;0.624;-0.082;0.24;0.1157;0.6764;0.4063;-7.62;38.26;3.51;348.96;74.05;86.99;0.0;991.39;64.444;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;5 / 18;16510;2022-11-08 17:35:59:820
-6.1339;-7.3388;2.6647;-6.2369;-6.6427;3.6257;0.4811;-0.3105;-1.0827;0.9164;-0.4133;1.2514;0.0;2.81;38.34;-15.13;28.52;42.64;59.83;0.0;991.91;69.867;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;5 / 18;17007;2022-11-08 17:36:00:317
-7.9583;-5.6557;5.284;-6.5703;-5.855;4.3267;0.4426;-0.1918;0.2961;-0.1763;-0.239;-0.0144;0.27;14.37;33.83;-23.86;43.3;34.75;58.61;0.0;992.32;71.62;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;5 / 18;17508;2022-11-08 17:36:00:818
-2.8587;-8.0595;-0.1173;-3.7836;-9.0061;0.8634;0.7819;0.8399;-0.4237;-0.8772;1.1661;-0.7669;0.0;11.66;38.99;-11.85;76.08;66.69;77.14;0.0;991.15;69.366;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;5 / 18;18006;2022-11-08 17:36:01:316
-2.2218;-9.8001;-1.822;-2.6001;-9.3242;-1.571;-0.0685;-0.1596;0.2234;-0.2111;-0.321;-0.1758;0.0;-9.27;47.32;4.87;335.3;71.95;121.14;0.0;991.1;66.338;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;5 / 18;18507;2022-11-08 17:36:01:817
-3.2657;-8.9214;-1.9968;-2.5159;-9.3441;-1.59;-0.7405;0.2259;-0.2852;0.0292;-0.0917;-0.1611;0.0;-6.27;42.76;8.32;324.18;72.33;122.29;0.0;991.41;66.613;35.94248;-84.16513;948.3;NaN;;0.0;76.35387;;5 / 18;19006;2022-11-08 17:36:02:316
-5.2002;-8.524;-0.5028;-3.7962;-9.0341;0.3792;0.352;0.4781;-0.2358;0.5926;0.3446;0.6353;0.0;-6.71;40.56;2.84;350.34;74.45;90.14;0.0;991.43;66.387;35.94248;-84.16513;948.3;NaN;;0.0;76.35387;;5 / 18;19507;2022-11-08 17:36:02:817
-5.8275;-6.6206;2.8515;-6.875;-5.8713;3.7991;1.5447;0.1407;-0.9332;0.3944;-0.6063;1.0454;0.27;2.98;40.28;-15.71;30.14;43.14;64.34;0.0;992.0;67.994;35.94248;-84.16513;948.3;NaN;;0.0;76.35387;;5 / 18;20007;2022-11-08 17:36:03:317
-6.5242;-6.2183;4.3479;-6.7506;-5.9806;3.8513;0.5518;0.142;0.653;-0.0417;0.0874;-0.2581;0.0;17.53;33.71;-18.19;29.29;37.58;60.29;0.0;992.21;66.561;35.94248;-84.16513;948.3;NaN;;0.0;76.35387;;4 / 18;20507;2022-11-08 17:36:03:817
-4.3455;-9.18;-0.1844;-3.3642;-9.2063;-0.3104;-0.776;0.2389;-0.3374;-0.8131;0.9497;-1.3452;0.0;6.99;41.64;-7.86;44.98;69.85;95.27;0.0;991.12;69.901;35.94248;-84.16513;948.3;NaN;;0.0;76.35387;;4 / 18;21006;2022-11-08 17:36:04:316
-1.1732;-9.4122;-1.4676;-2.0491;-9.415;-1.8247;1.0015;-0.3806;0.1935;-0.0699;-0.4294;-0.1036;0.0;-10.21;44.16;4.56;327.48;73.75;131.69;0.0;991.07;65.103;35.94248;-84.16513;948.3;NaN;;0.0;76.35387;;4 / 18;21506;2022-11-08 17:36:04:816
-2.8754;-9.4792;-1.8531;-2.0755;-9.3693;-2.0196;-0.8288;-0.0692;-0.52;0.0149;0.1136;-0.1423;0.0;-8.91;39.93;11.9;306.02;72.34;131.99;0.0;991.37;66.938;35.94248;-84.16513;948.3;NaN;;0.0;76.35387;;4 / 18;22007;2022-11-08 17:36:05:317
-3.7757;-9.745;-1.5275;-3.448;-9.173;0.3718;0.963;0.6213;-1.1608;0.5483;-0.6308;0.8691;0.27;-9.58;36.32;8.33;333.49;74.95;96.2;0.0;991.37;64.962;35.942486;-84.16512;948.62;NaN;;0.0;114.84648;;4 / 18;22507;2022-11-08 17:36:05:817
-5.8826;-8.6173;2.3008;-5.5398;-7.3468;3.392;0.0687;-1.0208;-1.0809;0.796;-0.7165;1.1033;0.0;2.39;35.6;0.12;357.35;48.52;58.52;0.0;991.84;67.493;35.942486;-84.16512;948.62;NaN;;0.0;114.84648;;4 / 18;23010;2022-11-08 17:36:06:320
-12.9047;-10.6668;6.9384;-5.9964;-6.1195;4.7714;0.3899;1.4515;1.0156;-0.4175;0.2061;-0.2445;0.0;15.49;32.46;-9.16;353.69;37.56;53.68;0.0;992.31;69.239;35.942486;-84.16512;948.62;NaN;;0.0;114.84648;;4 / 18;23507;2022-11-08 17:36:06:817
-4.3215;-9.7019;0.6871;-3.4606;-9.1575;0.5781;-0.9002;-0.4458;-0.585;-0.9052;1.4852;-0.706;0.27;9.53;35.98;0.67;325.44;69.04;80.52;0.0;991.14;68.3;35.942486;-84.16512;948.62;NaN;;0.0;114.84648;;4 / 18;24007;2022-11-08 17:36:07:317
-2.4038;-9.4768;-1.2474;-2.3895;-9.3678;-1.6446;-0.6259;0.079;0.0956;-0.0804;-0.018;-0.1565;0.0;-11.18;42.69;16.6;301.01;72.79;124.54;0.0;991.12;63.911;35.942486;-84.16512;948.62;NaN;;0.0;114.84648;;4 / 18;24507;2022-11-08 17:36:07:817
-2.8443;-9.4146;-2.6336;-2.0133;-9.4366;-1.7514;-0.4034;0.1004;-0.1741;0.0261;0.0252;-0.2587;0.0;-16.49;45.26;1.27;334.15;74.21;131.02;0.0;991.42;65.564;35.942486;-84.16512;948.62;NaN;;0.0;114.84648;;4 / 18;25006;2022-11-08 17:36:08:316
-0.8811;-8.2199;0.1221;-3.0565;-9.2964;0.6367;1.7997;1.186;-0.4;0.4071;-0.1758;0.4661;0.4063;-17.43;43.25;-4.99;8.97;73.75;91.68;0.0;991.37;65.461;35.942486;-84.16512;948.62;NaN;;0.0;114.84648;;4 / 18;25506;2022-11-08 17:36:08:816
-5.7916;-6.0196;3.3112;-6.4629;-5.9411;4.3709;0.8689;0.3521;-0.893;0.6951;-0.3264;1.1587;0.0;-7.71;43.19;-22.23;41.42;46.24;56.53;0.0;992.06;70.525;35.942486;-84.16512;948.62;NaN;;0.0;114.84648;;4 / 18;26006;2022-11-08 17:36:09:316
-4.063;-3.9247;4.8123;-6.7221;-5.5312;4.5154;1.0972;0.9483;0.8073;-0.1039;-0.0198;-0.2762;0.27;8.97;39.15;-33.85;53.3;34.33;56.11;0.0;992.27;69.192;35.942486;-84.16512;948.62;NaN;;0.0;114.84648;;4 / 18;26506;2022-11-08 17:36:09:816
-3.8068;-9.4936;0.4046;-3.708;-9.0776;-0.1371;0.0433;-0.339;0.1894;-0.8819;0.7794;-1.1346;0.0;-0.27;49.79;-20.01;45.56;67.77;92.12;0.0;991.06;69.497;35.942486;-84.16512;948.62;NaN;;0.0;114.84648;;4 / 18;27007;2022-11-08 17:36:10:317
-2.7869;-9.7977;-1.3384;-3.0161;-9.2163;-1.4607;-0.2809;-0.1;-0.0361;-0.0394;-0.1905;-0.0059;0.0;-16.04;57.58;-6.94;358.93;70.02;115.84;0.0;991.12;64.366;35.942486;-84.16512;948.62;NaN;;0.0;114.84648;;4 / 18;27508;2022-11-08 17:36:10:818
-2.9401;-9.2207;-1.4078;-2.5459;-9.3488;-1.5127;-0.391;-0.0288;-0.0294;0.1949;-0.004;-0.2068;2.03;-13.71;52.67;-1.52;349.19;72.42;120.72;0.0;991.38;65.664;35.942486;-84.16512;948.62;NaN;;0.0;114.84648;;4 / 18;28010;2022-11-08 17:36:11:320
-2.2314;-10.1113;0.5028;-3.4126;-9.1535;0.859;2.7505;0.5869;0.2552;-0.0463;-0.2491;0.5294;0.0;-15.46;46.8;-8.76;18.02;71.25;88.27;0.0;991.42;66.094;35.942486;-84.16512;948.62;NaN;;0.0;114.84648;;4 / 18;28506;2022-11-08 17:36:11:816
-6.1148;-6.8528;2.988;-6.0446;-6.9437;3.379;0.3732;-0.1797;-0.2304;0.4984;-0.2467;0.9737;0.4063;-4.61;44.33;-23.45;40.66;45.08;60.79;0.0;992.01;68.983;35.942474;-84.16513;957.18;NaN;;0.0;157.93619;;5 / 18;29007;2022-11-08 17:36:12:317
-9.323;-5.761;4.3;-6.6985;-5.6792;4.3642;1.8302;1.8887;0.4222;-0.2597;-0.002;-0.0221;0.4063;8.2;40.99;-34.12;51.28;34.41;58.91;0.0;992.26;70.944;35.942474;-84.16513;957.18;NaN;;0.0;157.93619;;5 / 18;29507;2022-11-08 17:36:12:817
-3.4668;-7.8009;1.1013;-4.422;-8.64;1.4026;1.1888;1.7097;0.5981;-0.7059;0.685;-1.242;0.0;4.71;46.79;-27.99;67.22;61.77;72.4;0.0;991.18;70.659;35.942474;-84.16513;957.18;NaN;;0.0;157.93619;;5 / 18;30007;2022-11-08 17:36:13:317
-1.5514;-9.7546;-1.2881;-2.5891;-9.3568;-1.3847;0.9404;-0.3926;-0.159;-0.1244;-0.5972;0.0758;1.2175;-15.98;54.3;-9.92;2.14;72.58;118.14;0.0;991.04;66.238;35.942474;-84.16513;957.18;NaN;;0.0;157.93619;;5 / 18;30507;2022-11-08 17:36:13:817
-3.1795;-8.9094;-1.1875;-2.6892;-9.3304;-1.3721;-0.7126;0.1717;-0.0076;0.0621;0.1537;-0.1746;0.0;-10.8;52.52;-2.67;355.06;72.07;117.03;0.0;991.6;67.937;35.94247;-84.16512;957.55;NaN;;0.0;94.4573;;5 / 18;31006;2022-11-08 17:36:14:316
-2.4924;-9.7019;0.6393;-2.639;-9.443;-0.19;0.3105;0.3021;0.858;0.9751;0.6678;0.6123;0.0;-11.2;47.75;-2.96;353.8;73.86;118.48;0.0;991.43;68.642;35.94247;-84.16512;957.55;NaN;;0.0;94.4573;;5 / 18;31506;2022-11-08 17:36:14:816
-5.6575;-8.2319;1.7071;-6.0998;-6.9831;3.1937;0.1966;-0.7613;-1.0318;0.8441;-0.3397;1.2169;0.27;-7.48;50.5;-22.17;41.28;55.62;66.03;0.0;991.72;66.639;35.94247;-84.16512;957.55;NaN;;0.0;94.4573;;5 / 18;32006;2022-11-08 17:36:15:316
-8.3534;-6.0316;6.4931;-7.1377;-5.4785;3.8999;0.8205;0.7082;0.1391;-0.3533;-0.084;0.1119;0.0;9.31;43.9;-34.42;48.01;33.96;61.35;0.0;992.37;69.894;35.94247;-84.16512;957.55;NaN;;0.0;94.4573;;5 / 18;32507;2022-11-08 17:36:15:817
-6.9863;-8.9908;2.636;-5.7685;-7.65;2.0912;-0.7781;-0.6438;-0.0978;-0.8136;0.4278;-0.978;0.0;12.68;46.68;-26.02;57.07;51.27;70.07;0.0;991.56;68.473;35.94247;-84.16512;957.55;NaN;;0.0;94.4573;;5 / 18;33007;2022-11-08 17:36:16:317
-3.4453;-9.1632;-1.0032;-3.2487;-9.1534;-1.3537;0.1555;0.2087;-0.3179;-0.13;0.1462;-0.127;0.0;-5.86;57.02;-10.97;16.64;68.56;107.24;0.0;990.98;65.408;35.94247;-84.16512;957.55;NaN;;0.0;94.4573;;5 / 18;33507;2022-11-08 17:36:16:817
-3.2585;-9.484;-1.9154;-2.7658;-9.3014;-1.4161;-0.5016;-0.1685;-0.5493;0.1196;0.0494;-0.0578;0.0;-10.99;54.9;-4.72;358.88;71.53;117.11;0.0;991.32;64.751;35.94247;-84.16512;957.55;NaN;;0.0;94.4573;;5 / 18;34007;2022-11-08 17:36:17:317
