sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-4.9704;-7.1952;4.9081;-4.5703;-6.7825;5.4111;-0.4637;-0.3859;-0.5304;-0.1194;-0.0385;0.0052;0.0;3.18;34.66;-32.06;69.04;43.76;40.18;0.0;989.78;57.128;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;13014;2022-11-02 20:42:20:329
-5.4827;-7.2024;4.4005;-4.5037;-7.3385;4.6939;-0.1507;0.2331;0.5651;-0.4589;-0.6651;0.0304;0.0;3.93;37.42;-28.11;61.72;46.4;44.05;0.0;989.52;59.799;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;13515;2022-11-02 20:42:20:830
-3.1029;-8.4569;4.2641;-3.0963;-8.3814;4.0418;0.1624;-0.2169;0.0622;-0.2439;-0.1558;-0.2856;0.27;1.07;42.49;-20.53;51.8;55.52;39.27;0.0;989.42;62.797;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;14015;2022-11-02 20:42:21:330
-3.0837;-9.1249;3.3902;-2.0899;-9.007;3.2676;-0.5155;-0.0162;0.3444;-0.3506;-0.2345;-0.1842;0.0;-5.15;45.14;-14.25;51.23;66.7;32.6;0.0;989.4;69.01;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;9 / 19;14514;2022-11-02 20:42:21:829
-3.8571;-9.4553;3.2872;-3.1888;-8.6712;3.2883;-1.1235;0.9001;0.4236;0.2803;0.636;0.6479;0.0;-10.37;45.86;-9.93;33.59;62.15;44.12;0.0;989.51;69.35;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;9 / 19;15014;2022-11-02 20:42:22:329
-4.774;-7.0563;4.3622;-4.9455;-7.3354;4.2314;1.1845;-0.2623;0.6914;0.2879;0.572;0.2133;0.0;-3.48;44.12;-16.51;33.29;48.42;49.45;0.0;989.66;68.363;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;9 / 19;15514;2022-11-02 20:42:22:829
-4.1755;-7.1712;4.695;-4.9233;-7.2024;4.4785;1.4176;-0.4673;1.1531;-0.0051;-0.1027;-0.2581;0.0;6.55;40.28;-23.7;47.47;45.68;52.25;0.0;989.79;65.954;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;9 / 19;16014;2022-11-02 20:42:23:329
-4.2593;-8.6963;2.9928;-2.5135;-8.9437;3.1405;-1.4848;0.0726;-0.3111;-0.5983;-0.779;-0.5511;0.27;3.05;42.42;-19.46;57.04;60.36;40.43;0.0;989.55;63.891;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;9 / 19;16515;2022-11-02 20:42:23:830
-1.8292;-9.7881;2.7629;-0.8805;-9.3135;2.9418;-0.3133;-0.5784;-0.3036;0.1686;-0.1276;-0.4533;0.0;-10.41;45.51;-8.32;50.33;71.75;16.66;0.0;989.54;61.966;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;9 / 19;17015;2022-11-02 20:42:24:330
-1.9752;-8.7323;4.7932;-3.1524;-8.4538;3.8427;0.4035;-0.7808;0.3084;0.9474;0.9105;0.3972;0.0;-14.9;44.65;-7.59;39.87;65.46;33.86;0.0;989.58;62.386;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;17514;2022-11-02 20:42:24:829
-4.9656;-8.1744;4.0438;-4.7877;-7.5443;4.0412;0.9594;-0.5649;0.075;0.0767;0.4486;0.3165;0.0;-3.07;41.91;-20.25;42.68;50.29;49.83;0.0;989.79;61.296;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;18014;2022-11-02 20:42:25:329
-3.5793;-7.9565;4.9632;-3.6314;-7.8024;4.7017;0.3315;0.0542;0.2425;-0.1099;-0.2778;-0.349;0.0;4.54;40.93;-22.55;51.89;52.71;37.68;0.0;989.76;56.627;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;18514;2022-11-02 20:42:25:829
-2.6935;-8.3659;2.3056;-1.2554;-9.2856;2.8934;-1.1881;0.0144;-0.9193;-0.744;-1.0211;-0.2751;0.0;-4.67;43.18;-17.13;63.51;65.53;26.72;0.0;989.52;62.541;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;19014;2022-11-02 20:42:26:329
-0.0335;-9.6684;3.0406;-0.3976;-9.3571;2.908;-0.5395;-0.1718;0.6986;-0.1368;-0.3843;0.0304;0.0;-13.33;44.84;-8.19;57.02;71.22;10.26;0.0;989.57;71.245;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;19515;2022-11-02 20:42:26:830
-2.4972;-8.2414;3.8307;-3.5524;-8.0683;4.2957;0.8842;-0.0993;-0.3641;0.9417;1.4223;0.1388;0.0;-13.33;44.68;-9.02;35.82;61.43;36.26;0.0;989.61;62.315;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;20015;2022-11-02 20:42:27:330
-2.8611;-7.9829;5.2577;-4.6402;-7.5752;4.1538;2.0462;-0.3887;1.6034;-0.1059;0.0609;0.3621;0.0;-1.02;40.55;-22.63;50.33;50.58;48.17;0.0;989.79;69.772;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;20515;2022-11-02 20:42:27:830
-3.4548;-8.5168;3.8786;-2.5897;-8.3723;4.401;0.0631;-0.0673;-0.2272;-0.441;-0.6932;-0.4593;0.0;1.45;40.86;-22.06;65.33;58.62;30.47;0.0;989.59;61.855;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;21014;2022-11-02 20:42:28:329
-1.9585;-9.3116;2.909;-0.3779;-9.3642;2.8877;-1.6086;0.0474;-0.2869;-0.2466;-0.4735;-0.2575;0.0;-7.15;43.35;-14.35;76.55;71.4;13.9;0.0;989.51;60.622;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;21514;2022-11-02 20:42:28:829
-2.4828;-9.7929;3.3639;-0.5431;-9.3422;2.9323;-0.5077;0.645;1.2223;-0.0096;-0.2242;0.5079;0.0;-17.95;43.64;-6.59;69.95;71.91;-1.75;0.0;989.6;69.005;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;22014;2022-11-02 20:42:29:329
