sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
6.0026;-12.4765;-1.3192;-0.7677;-9.7657;0.4591;4.0214;-1.8464;-3.1119;0.4384;0.923;0.3138;16.0;17.16;28.68;-25.2;49.24;82.36;159.66;5.0;989.32;62.256;;;;NaN;;;;;0 / 0;14013;2022-11-01 13:58:31:531
-1.4365;-4.027;-1.5227;-2.2209;-7.8198;-5.4852;-2.8311;-6.3422;-5.5093;-0.0503;-0.7886;-0.1468;16.0;7.68;43.44;-4.62;16.13;45.37;161.28;5.0;989.89;65.98;;;;NaN;;;;;0 / 0;14515;2022-11-01 13:58:32:033
0.7685;-8.3154;-0.9266;0.0456;-9.7093;-1.3776;0.213;0.2375;1.344;1.483;0.6225;0.0994;16.0;10.5;38.46;-22.2;23.34;71.93;173.24;5.0;989.34;61.367;;;;NaN;;;;;0 / 0;15013;2022-11-01 13:58:32:531
0.7542;-12.2347;-0.1891;-0.9417;-7.448;-6.3096;1.1356;-1.5808;5.1029;-3.0436;-3.3023;-0.0973;16.0;10.56;44.1;-2.1;32.52;70.01;-178.61;5.0;989.19;60.212;;;;NaN;;;;;0 / 0;15513;2022-11-01 13:58:33:031
-0.3639;-8.0616;-3.201;-2.2741;-7.2596;-6.1885;2.2406;-2.8059;1.7113;1.9044;2.1765;-0.6361;16.0;8.7;45.48;2.1;12.28;35.83;153.97;5.0;990.82;61.083;;;;NaN;;;;;0 / 0;16018;2022-11-01 13:58:33:536
-0.5387;-8.2866;-1.2761;0.1249;-9.518;-2.3584;-0.8527;0.5179;1.5228;0.0102;0.4765;-0.0649;16.0;6.54;41.64;-20.64;15.92;73.12;174.45;5.0;989.52;60.433;;;;NaN;;;;;0 / 0;16514;2022-11-01 13:58:34:032
0.4812;-10.1254;-0.6704;-0.6073;-9.7132;-1.2061;3.0924;0.7299;-1.6358;-2.2659;-0.5596;-0.1327;16.0;9.36;40.62;-27.72;28.11;83.89;165.83;5.0;989.58;65.914;;;;NaN;;;;;0 / 0;17013;2022-11-01 13:58:34:531
-1.7047;-1.9968;-6.7974;-3.7988;-6.1719;-6.6065;-0.2115;-2.2943;-4.5244;1.3278;0.2364;-0.6019;16.0;7.92;46.26;13.98;359.63;32.5;149.56;5.0;990.54;68.043;;;;NaN;;;;;0 / 0;17513;2022-11-01 13:58:35:031
-0.5315;-8.1047;-0.6249;-1.0734;-9.7464;-0.1619;1.7534;2.0272;1.4788;1.5813;0.2211;-0.0234;16.0;3.48;40.32;-27.3;35.97;77.28;139.97;5.0;988.96;64.194;;;;NaN;;;;;0 / 0;18013;2022-11-01 13:58:35:531
-3.292;-13.1756;0.656;-1.5053;-8.7415;-4.1821;2.5468;1.8579;5.815;-2.4895;-2.4887;-0.2408;16.0;-0.24;46.26;-7.02;16.31;77.94;141.3;5.0;989.06;69.058;;;;NaN;;;;;0 / 0;18512;2022-11-01 13:58:36:030
2.2218;-7.6833;2.3008;-0.9182;-8.7511;-4.3295;8.8697;-1.8435;4.4277;2.2875;1.5779;0.1532;16.0;-8.64;44.16;2.1;341.77;54.48;154.36;5.0;990.32;60.75;;;;NaN;;;;;0 / 0;19013;2022-11-01 13:58:36:531
0.1652;-16.0202;-0.9242;-1.2116;-9.7184;0.5057;6.2565;-4.81;-4.3772;-3.396;-1.0415;-0.5499;16.0;2.88;36.36;-30.78;143.06;80.64;35.58;5.0;989.08;58.684;;;;NaN;;;;;0 / 0;19512;2022-11-01 13:58:37:030
-0.9553;-5.3202;-10.9466;-2.18;-8.2833;-4.7754;-3.2743;-2.8429;-4.1553;-0.8695;-2.4367;0.5179;16.0;-6.24;45.12;4.5;343.61;52.76;156.49;5.0;990.1;66.141;;;;NaN;;;;;0 / 0;20016;2022-11-01 13:58:37:534
-1.1396;-10.8484;-3.3447;-1.0241;-9.6569;1.3656;-1.26;-4.1747;-5.0192;0.5471;0.5357;0.3609;16.0;1.8;35.34;-32.58;144.99;85.96;35.96;5.0;989.28;60.935;;;;NaN;;;;;0 / 0;20512;2022-11-01 13:58:38:030
-0.9792;-4.7022;1.482;-2.1396;-8.2161;-4.9079;-0.4389;3.2478;-0.2615;0.7634;-1.1209;-0.9788;16.0;-4.8;43.86;5.94;344.93;50.54;160.85;5.0;989.28;62.57;;;;NaN;;;;;0 / 0;21013;2022-11-01 13:58:38:531
1.0008;-9.036;2.5211;-0.6936;-9.7112;-1.1753;1.2418;2.6696;2.564;1.3987;2.0867;0.1086;16.0;-7.44;40.98;-17.76;359.81;73.07;159.06;5.0;989.13;66.563;;;;NaN;;;;;0 / 0;21513;2022-11-01 13:58:39:031
0.5315;-7.3505;-0.1508;-1.0403;-8.5555;-4.6787;2.0483;0.6232;5.2222;-1.7919;-2.2877;-0.1278;16.0;-4.26;42.72;-3.54;354.97;76.31;148.97;5.0;988.95;60.117;;;;NaN;;;;;0 / 0;22013;2022-11-01 13:58:39:531
13.1325;-15.606;0.4262;-1.8112;-8.3934;-4.7371;10.9502;-9.9036;4.0571;2.3736;0.6768;0.3383;16.0;-8.94;40.56;6.06;334.08;55.33;154.79;5.0;989.65;63.555;;;;NaN;;;;;0 / 0;22513;2022-11-01 13:58:40:031
2.0446;-13.2761;-3.6488;-1.049;-9.694;1.0467;2.3682;-3.5199;-2.6389;-3.6465;0.4313;-0.1083;16.0;-3.06;32.58;-29.82;128.88;82.38;38.64;5.0;989.31;63.452;;;;NaN;;;;;0 / 0;23014;2022-11-01 13:58:40:532
-3.9576;-22.2715;-10.9921;-2.5049;-7.9866;-5.1098;-0.6986;-9.6281;5.1098;-0.8554;-0.0727;-0.1144;16.0;-6.84;39.48;5.04;335.45;59.09;158.01;5.0;990.58;66.95;;;;NaN;;;;;0 / 0;23513;2022-11-01 13:58:41:031
1.3695;-8.8852;-2.1476;-0.9707;-9.7036;1.0337;7.0475;-0.5367;-2.6929;1.3889;0.8265;0.5124;16.0;-2.04;30.72;-28.32;35.24;85.92;138.14;5.0;989.14;62.1;;;;NaN;;;;;0 / 0;24012;2022-11-01 13:58:41:530
-0.8571;-2.9712;-0.1221;-2.4881;-7.4587;-5.8606;1.935;2.8187;6.294;-1.0699;-2.2816;0.0176;16.0;-3.36;38.16;6.24;345.81;56.44;167.7;5.0;989.36;61.187;;;;NaN;;;;;0 / 0;24513;2022-11-01 13:58:42:031
